source_file,source_api,source_loc,sink_file,sink_api,sink_loc,startpoint_type,flow_type
pages\processDetail\processDetail.js,wx.request,73,pages\processDetail\processDetail.js,console.log,85,api.asyn,intra.
pages\processDetail\processDetail.js,radioChange,213,pages\processDetail\processDetail.js,console.log,214,ui,intra.
pages\processDetail\processDetail.js,policyServiceChange,320,pages\processDetail\processDetail.js,console.log,321,ui,intra.
pages\recordDetail\recordDetail.js,wx.request,25,pages\recordDetail\recordDetail.js,console.log,34,api.asyn,inter.cf
pages\recordDetail\recordDetail.js,wx.getStorage,1458,pages\recordDetail\recordDetail.js,console.log,1461,api.asyn,intra.
pages\recordDetail\recordDetail.js,submitApply,1510,pages\recordDetail\recordDetail.js,console.log,1511,ui,intra.
pages\recordDetail\recordDetail.js,submitApply,1510,pages\recordDetail\recordDetail.js,wx.request,566,ui,intra.
pages\recordDetail\recordDetail.js,sureSelect,1480,pages\recordDetail\recordDetail.js,wx.setStorage,1483,ui,intra.
pages\recordDetail\recordDetail.js,changeBaoXiaoType,995,pages\recordDetail\recordDetail.js,console.log,996,ui,intra.
pages\recordDetail\recordDetail.js,changeAppliRelation,1030,pages\recordDetail\recordDetail.js,console.log,1031,ui,intra.
pages\recordDetail\recordDetail.js,changeAppliBankName,1438,pages\recordDetail\recordDetail.js,console.log,1439,ui,intra.
pages\recordDetail\recordDetail.js,blurOtherRelationDesc,1040,pages\recordDetail\recordDetail.js,console.log,1041,ui,intra.
pages\recordDetail\recordDetail.js,inputOtherRelationDesc,1035,pages\recordDetail\recordDetail.js,console.log,1036,ui,intra.
pages\recordDetail\recordDetail.js,taxReasonListChange,1932,pages\recordDetail\recordDetail.js,console.log,1933,ui,intra.
pages\recordDetail\recordDetail.js,searchAccProf,1129,pages\recordDetail\recordDetail.js,console.log,1130,ui,intra.
pages\recordDetail\recordDetail.js,searchAccProf,1129,pages\recordDetail\recordDetail.js,wx.request,1136,ui,intra.
pages\recordDetail\recordDetail.js,changeAppliTdType,1181,pages\recordDetail\recordDetail.js,console.log,1182,ui,intra.
pages\recordDetail\recordDetail.js,bindAccAddrChange,839,pages\recordDetail\recordDetail.js,console.log,840,ui,intra.
pages\recordDetail\recordDetail.js,choseCountry,1264,pages\recordDetail\recordDetail.js,console.log,1265,ui,intra.
pages\recordDetail\recordDetail.js,blurAppliIdNo,1203,pages\recordDetail\recordDetail.js,console.log,1204,ui,intra.
pages\recordDetail\recordDetail.js,bindAppAddrChange,855,pages\recordDetail\recordDetail.js,console.log,856,ui,intra.
pages\recordDetail\recordDetail.js,birthChineseCountry,1962,pages\recordDetail\recordDetail.js,console.log,1963,ui,intra.
pages\recordsList\recordsList.js,wx.request,7,pages\recordsList\recordsList.js,console.log,17,api.asyn,intra.
pages\uploadFiles\uploadFiles.js,wx.getStorage,49,app.js,console.log,175,api.asyn,inter.cf
pages\uploadFiles\uploadFiles.js,wx.request,73,pages\uploadFiles\uploadFiles.js,console.log,82,api.asyn,inter.sf
pages\UploadImg\UploadImg.js,wx.request,20,pages\UploadImg\UploadImg.js,console.log,29,api.asyn,intra.
pages\UploadImg\UploadImg.js,wx.getStorage,132,pages\UploadImg\UploadImg.js,console.log,135,api.asyn,intra.
9A41035384CF379CFC276B5474025043.js,wx.getUserInfo,207,9A41035384CF379CFC276B5474025043.js,wx.setStorageSync,211,api.sync,intra.
9A41035384CF379CFC276B5474025043.js,wx.getSystemInfoSync,206,9A41035384CF379CFC276B5474025043.js,wx.setStorageSync,216,api.sync,intra.
pages\advancePay\advancePay.js,wx.request,77,pages\advancePay\advancePay.js,wx.request,207,api.asyn,inter.sf
pages\advancePayInferiorUpload\advancePayInferiorUpload.js,wx.chooseImage,76,pages\advancePayInferiorUpload\advancePayInferiorUpload.js,console.log,84,api.asyn,intra.
pages\deposit\deposit.js,inputPassWord,151,pages\deposit\deposit.js,console.log,187,api.asyn,inter.sf
pages\deposit\deposit.js,inputCellPhone,146,pages\deposit\deposit.js,console.log,187,api.asyn,inter.sf
pages\deposit\deposit.js,inputPassWord,151,pages\deposit\deposit.js,wx.request,123,api.asyn,inter.sf
pages\deposit\deposit.js,inputCellPhone,146,pages\deposit\deposit.js,wx.request,123,api.asyn,inter.sf
pages\index\index.js,submitReport,335,pages\index\index.js,submitData,349,ui,inter.sf
pages\index\index.js,submitReport,335,pages\index\index.js,wx.request,379,ui,inter.sf
pages\index\index.js,policyServiceChange,413,pages\index\index.js,console.log,414,ui,inter.sf
pages\indexNew\indexNew.js,submitReport,331,pages\indexNew\indexNew.js,submitData,345,ui,inter.sf
pages\indexNew\indexNew.js,submitReport,331,pages\indexNew\indexNew.js,wx.request,375,ui,inter.sf
pages\indexNew\indexNew.js,policyServiceChange,409,pages\indexNew\indexNew.js,console.log,410,ui,inter.sf
pages\onlineApply\onlineApply.js,inputVerifyCode,246,pages\onlineApply\onlineApply.js,wx.request,274,ui,inter.sf
pages\onlineApply\onlineApply.js,blurIdNo,136,pages\onlineApply\onlineApply.js,console.log,137,ui,intra.
pages\onlineApply\onlineApply.js,identifyCode,157,pages\onlineApply\onlineApply.js,console.log,314,ui,inter.sf
pages\uploadFiles\uploadFiles.js,wx.chooseImage,141,pages\uploadFiles\uploadFiles.js,wx.uploadFile,234,api.asyn,inter.sf
pages\uploadFiles\uploadFiles.js,wx.chooseImage,155,pages\uploadFiles\uploadFiles.js,console.log,184,api.asyn,inter.sf
pages\UploadImg\UploadImg.js,wx.chooseImage,254,pages\UploadImg\UploadImg.js,console.log,289,api.asyn,inter.sf
pages\UploadImg\UploadImg.js,wx.chooseImage,254,pages\UploadImg\UploadImg.js,wx.uploadFile,289,api.asyn,inter.sf
